Aging,Aver_thickness,Aver_pore_size,Total_pore_volume,Micropore_volume,Specific_surface_Area,Kinetic_diameter ,Critical_temp,Polarizability,Temperature,Delta_pressure,Feed_flow_rate,Molar_mass _sweep_gas,Sweep_gas_flow,Molar_fraction,Permeability
37.73106,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
248.9525,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
7.024282,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
63.37847,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
346.287525,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2.796417,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
27.59159,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
186.088875,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
3.998911,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
29.11238,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
188.681,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,200000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,510000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,1050000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,2020000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,2850000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,3530000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,4700000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,480000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,970000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,1460000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,1940000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,2430000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,2930000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,3400000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,3900000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,4390000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,4870000,NaN,NaN,NaN,NaN,NaN
NaN,55,NaN,NaN,NaN,NaN,2.6,0,2.91,308,90000,NaN,NaN,NaN,NaN,NaN
